good morning,早上好；早晨
second-hand,adj.,二手的
second-hand,adv.,间接地
secondary education,中学教育 
secondary school,中学 
secondly,adv.,其次；第二
secretarial,adj.,秘书的
secrete,v.,分泌；藏匿
secretion,n.,分泌；分泌物
secretively,adv.,秘密地
secular,adj.,世俗的；非宗教的
security check,安全检查 
security officer,保安员 
security personnel,保安人员 
sedate,adj.,安静的；沉着的
sedate,v.,给…服用镇静剂
sedentary,adj.,久坐的；需要坐着工作的
sedimentation,n.,沉淀；沉积
seduce,v.,引诱；诱惑
see patients,看病；诊症 
see plants and flowers,赏花观草 
see sb.,through,帮助某人渡过难关 
see sculptures and lanterns,看雕塑和灯笼 
see something through,坚持做完某事 
seedless orange,无核橙 
seedless watermelon,无籽西瓜 
seedling,n.,幼苗
seeds,n.,种子（复数）
seeds,v.,播种（第三人称单数）
seek thrills,寻求刺激 
seep,v.,渗出；渗透
segmentation,n.,分割；切分
segregate,v.,隔离；使分开
seismic,adj.,地震的
seize,v.,抓住；夺取；没收
selected,adj.,精选的
self,n.,自己；自我
self,adj.,同一的
self-access,adj.,自助的
self-centered,adj.,自我中心的；自私的
self-contained,adj.,独立的；自给自足的
self-defence,n.,自卫
self-drive,adj.,自驾的
self-employed,adj.,自雇的；个体经营的
self-esteem,n.,自尊
self-evaluation,n.,自我评估
self-evident,adj.,不言而喻的；明显的
self-funded,adj.,自费的
self-identity,n.,自我认同
self-locking,adj.,自动锁上的
self-opinionatedly,adv.,固执己见地
self-proclaimed,adj.,自称的
self-sufficient,adj.,自给自足的
sell at a high price,高价出售 
sell at a low price,低价出售 
semantic,adj.,语义的
semantic error,语义错误 
semantically,adv.,在语义上
semantics,n.,语义学
semi-detached house,半独立式住宅 
semi-final,n.,半决赛
semicolon,n.,分号
semifinal,adj.,半决赛的
semifinal,n.,半决赛
semiliterate,n.,半文盲
semimonthly,adj.,半月刊的
semimonthly,adv.,每半月
semimonthly,n.,半月刊
seminar group,研讨小组 
seminar room,研讨室 
seminars,n.,研讨会（复数）
senate,n.,参议院
send SMS,发短信 
send emails,发邮件 
send emails or short messages,发邮件或短信 
send invitations,发送邀请 
send newsletters,发送通讯 
senile,adj.,年老糊涂的；衰老的
senior advisor,高级顾问 
senior management,高层管理人员 
senior school,中学高年级；高中 
seniority,n.,资历；辈分
sensationalism,n.,哗众取宠；追求轰动效应
sense of achievement,成就感 
sense of distrust,不信任感 
sense of responsibility,责任感 
sense of security,安全感 
sense of smell,n.,嗅觉
sense of solidarity,团结感 
senseless,adj.,无意义的；愚蠢的；无知觉的
sensibility,n.,情感；感受力；敏感性
sensible exercise,合理的锻炼 
sensitive stomach,敏感的胃 
sensitivity,n.,敏感；灵敏度
sensitize,v.,使敏感
sensory,adj.,感觉的；感官的
sentient,adj.,有知觉的；有感觉的
sentient,n.,有知觉的生物
sentiment,n.,情绪；感情；观点
separated,adj.,分开的；分居的
separately,adv.,分别地；单独地
separator,n.,分隔物；分离器
sequacious,adj.,盲从的
sequel,n.,续集；后果
sequential,adj.,按顺序的；连续的
serenade,n.,小夜曲
serenade,v.,为…唱小夜曲
serial,adj.,连续的；连载的
serial,n.,连续剧；连载故事
serialization,n.,序列化；连载
serialize,v.,连载；使序列化
seriously,adv.,严重地；认真地
serotonin,n.,血清素
serve food,上菜；提供食物 
server,n.,服务器；服务员；发球者
service area,n.,服务区
service line,n.,发球线
service manager,n.,服务经理
services,n.,服务（复数）
services,v.,维修；保养
sesame oil,n.,麻油；香油
sesame paste,n.,芝麻酱
set aside,留出；拨出；搁置 
set money aside,存钱；留出钱 
set some policies,制定一些政策 
set the beat,打节拍 
set up,建立；设立；安装 
set-up,n.,设置；安排；圈套
settle in,适应新环境；安顿下来 
setup,n.,设置；安排；圈套
seven-screen,n.,七个屏幕的
severely,adv.,严重地；严厉地
severity,n.,严重性；严厉
sew,v.,缝；缝纫
sewer,n.,下水道；裁缝
sewerage,n.,污水处理系统；排水系统
sex,n.,性别；性
sex,v.,辨别…的性别
sex discrimination,n.,性别歧视
sexual,adj.,性的；性别的
shabby,adj.,破旧的；寒酸的；卑鄙的
shackle,n.,镣铐；束缚
shackle,v.,束缚；给…上镣铐
shade-tolerant,adj.,耐阴的
shaft,n.,轴；杆；（光）束
shaft,v.,欺骗；利用
shallow copy,浅拷贝 
shallowly,adv.,浅浅地；肤浅地
shallowness,n.,浅；肤浅
shameful,adj.,可耻的；丢脸的
shantytown,n.,贫民区
shaohsing wine,n.,绍兴酒
share their experience,分享他们的经验 
shared,adj.,共享的
shareholder,n.,股东
sharing,n.,分享；共享
sharing,v.,分享（进行时）
shark's fin,n.,鱼翅
sharks,n.,鲨鱼（复数）
sharpener,n.,卷笔刀；磨具
shear,v.,剪（羊毛等）；剪切
shells,n.,贝壳（复数）
shells,v.,剥壳（第三人称单数）
shield,n.,盾；防护物
shield,v.,保护；遮蔽
shift gears,换挡；改变策略 
shilling,n.,先令
shin,n.,胫骨
shin,v.,攀爬
ship building,造船 
shipping goods,n.,运输货物
ships,n.,船（复数）
ships,v.,运输（第三人称单数）
shoes,n.,鞋子
shoes,v.,给…穿鞋
shooting,n.,射击；拍摄
shooting,v.,射击（进行时）
shop assistants,n.,店员（复数）
shop front,n.,店面
shop lifter,n.,商店扒手
shop window,n.,商店橱窗
shopkeeper,n.,店主
shoplifter,n.,商店扒手
shopper,n.,购物者；顾客
shoppers,n.,购物者（复数）
shopping bag,n.,购物袋
shopping basket,n.,购物篮
shopping center,n.,购物中心
shopping centre,n.,购物中心
shopping day,n.,购物日
shopping list,n.,购物清单
shopping mall,n.,购物中心；商场
shops,n.,商店（复数）
shops,v.,购物（第三人称单数）
short circuit,n.,短路
short journey,n.,短途旅行
short lecture,n.,短讲座
short passing,短传 
short shot,近射 
short-day,adj.,短日照的
short-term,adj.,短期的
shortage of water,缺水 
shortcut,n.,捷径；快捷方式
shorthand,n.,速记
shortlist,n.,决选名单
shortsighted,adj.,近视的；目光短浅的
shoulder charge,肩撞 
shoulder pad,护肩；垫肩 
shovel,n.,铲；铁锹
shovel,v.,用铲子铲；铲除
show ... around the city,带…参观城市 
show handclap,鼓掌示意 
show off,炫耀；卖弄 
show the creativity and simplicity,展示创意和简洁 
show their authority,展示他们的权威 
show their best,展示他们最好的一面 
showcase,n.,玻璃陈列柜；展示场合
showcase,v.,展示；陈列
shower bath,淋浴 
shower curtain,浴帘 
showing,n.,放映；展示
showroom,n.,陈列室；展厅
shredder,n.,碎纸机
shrimp,n.,虾
shrimp,v.,捕虾
shrinkage,n.,收缩；缩水
shrub,n.,灌木
shrug,n.,耸肩
shrug,v.,耸肩
shuffle,n.,洗牌；拖着脚走
shuffle,v.,洗牌；拖着脚走；推诿
shuffler,n.,洗牌者；拖着脚走的人
shutter,n.,百叶窗；（相机）快门
shutter,v.,给…装上百叶窗
shutter button u,n.,快门按钮
shutter release u,n.,快门释放按钮
shuttlecock,n.,羽毛球
sibling,n.,兄弟姐妹
sick pay,n.,病假工资
sickle,n.,镰刀
side bar,n.,侧边栏
side effects,n.,副作用
side gate,n.,侧门
side line,n.,边线；副业
side line,v.,使退出比赛
side stroke,n.,侧泳
sideline ball,n.,边线球
siege,n.,围攻；包围
siege,v.,围攻；包围
siesta,n.,午睡
siesta,v.,午睡
sift,v.,筛选；过滤
sigh,n.,叹气；叹息
sigh,v.,叹气；叹息
sigh of relief,n.,松了一口气
sighting,n.,目击；看见
sighting,v.,目击（进行时）
sightseeing bus,n.,观光巴士
sightseeing flight,n.,观光飞行
sightseeing tour,n.,观光旅游
sightseer,n.,观光者；游客
significant impact,重大影响 
significantly,adv.,显著地；重要地
signification,n.,含义；表示
signpost,n.,路标
silence,int.,安静
silence,n.,沉默；寂静
silence,v.,使安静；使沉默
silent film,无声电影 
silk fabrics,丝织品 
silliness,n.,愚蠢
silver medal,银牌 
silver paper,锡纸；银箔纸 
similarly,adv.,同样地；类似地
simplified edition,简体版；简化版 
simplistic,adj.,过分简单化的
simulate,v.,模仿；模拟
simulation,n.,模拟；模仿
simultaneous,adj.,同时的；同步的
simultaneous,n.,同步发生的事物
simultaneously,adv.,同时地
sincerely,adv.,真诚地
sinew,n.,筋；肌腱；力量
sinew,v.,加强
sing and dance,唱歌跳舞 
sing karaoke,唱卡拉OK 
sing songs,n.,唱歌
sing the karaoke,唱卡拉OK 
singing,adj.,歌唱的
singing,n.,歌唱；歌声
singing,v.,唱歌（进行时）
single dispatch,单一调度 
single person,单身人士；一个人 
single room,n.,单人房
single ticket,n.,单程票
single's day,光棍节 
single-coloured clothes,单色衣服 
single-decker,n.,单层巴士
single-sex school,单一性别学校 
singleton,n.,单例；独生子
sinister,adj.,阴险的；凶兆的
sit down,坐下 
sitcom,n.,情景喜剧
situated,adj.,位于…的
situation of compatible products,兼容产品的情况 
situational,adj.,情境的；特定情况的
six-month certificate,六个月证书 
sixteen-seater minibus,十六座位小巴 
size up,估量；打量 
sizeable,adj.,相当大的
skeletal,adj.,骨骼的；骨瘦如柴的
skeptical,adj.,怀疑的
sketchbook,n.,素描本
sketchy,adj.,概略的；可疑的
skew,adj.,歪斜的
skew,n.,歪斜；偏见
skew,v.,歪斜；偏离
skilled worker,phr.,技术工人；技工
skillfully,adv.,熟练地；巧妙地
skills,n.,技能；技巧
skills-training,phr.,技能培训
skim,adj.,脱脂的
skim,n.,浮沫；表层
skim,v.,浏览；撇去
skim milk,phr.,脱脂牛奶
skip a grade,phr.,跳级
skull,n.,头骨；骷髅头
sky cloth,phr.,天幕
sky diver,n.,跳伞运动员；跳伞者
skydiving,n.,跳伞运动
skyscrapers,n.,摩天大楼
skywriting,n.,(飞机)空中喷字
slacken,v.,（使）放慢；（使）松懈
slang,n.,俚语；行话
slapstick,n.,闹剧；滑稽剧
slash,n.,斜杠；大幅削减；砍
slash,v.,大幅削减；劈砍
slat,n.,板条
slaves,n.,奴隶
sled,n.,雪橇
sled,v.,用雪橇运；坐雪橇
sledge,n.,大锤；雪橇
sledge,v.,用大锤敲击；坐雪橇
sleek,adj.,光滑时髦的；线条流畅的
sleeping berth,n.,卧铺
sleeping car,n.,卧铺车厢
sleeping pills,n.,安眠药
sleeping sickness,n.,昏睡病；非洲锥虫病
sleet,n.,雨夹雪；冻雨
sleet,v.,下雨夹雪
sleeved garments,n.,有袖服装
sleeveless garments,n.,无袖服装
sleigh,n.,雪橇
sleigh,v.,坐雪橇；用雪橇运输
slenderize,v.,使苗条
slice of bread,n.,面包片
slide presentation,phr.,幻灯片演示
slit,n.,狭缝；裂口
slit,v.,切开；撕开
slither,v.,蜿蜒地滑行
slop,v.,溢出；溅出
slop over,phr.,溢出；滔滔不绝
slot,n.,狭缝；位置；时段
slot,v.,放入狭缝中；把…纳入
slot machine,n.,老虎机；自动售货机
slothful,adj.,懒惰的
slouch,n.,没精打采的样子；懒人
slouch,v.,没精打采地站或走
slouched,adj.,没精打采的；下垂的
slow down in turns,phr.,轮流慢下来
slow down,phr.,减速；放慢
sluggish,adj.,行动迟缓的；萧条的
slum,n.,贫民窟
slum,v.,访问贫民窟
slump,n.,暴跌；衰退
slump,v.,暴跌；猛然倒下
slurp,v.,出声地吃喝
slurry,n.,泥浆
sluttish,adj.,邋遢的；淫荡的
sly,adj.,狡猾的；诡秘的
small-scale,adj.,小规模的
smaller areas,phr.,较小区域
smallpox,n.,天花
smarten,v.,使整洁；使漂亮
smear,n.,污迹；诽谤
smear,v.,涂抹；弄脏；诽谤
smelly,adj.,难闻的；发臭的
smelt,n.,胡瓜鱼
smelt,v.,熔炼；冶炼
smog,n.,雾霾；烟雾
smoke alarms,phr.,烟雾报警器
smoke exhaust,n.,排烟
smoke pollution,n.,烟雾污染
smoking,adj.,允许吸烟的
smoking,n.,吸烟
smooth,adj.,光滑的；顺利的；平稳的
smooth,adv.,顺利地；平稳地
smooth,n.,平滑部分
smooth,v.,使平滑；使顺利
smooth road,phr.,平坦的路
smoother,n.,平滑器；磨光器
smoothness,n.,平滑；顺利
smother,v.,使窒息；抑制
smuggle,v.,走私；偷运
snack bar,phr.,小吃店；快餐吧
snacks,n.,零食；小吃
snake case phrase,phr.,蛇形命名法
snap up,phr.,抢购
snapshot,n.,快照；简介
sneakers,n.,运动鞋
sneeze,n.,喷嚏
sneeze,v.,打喷嚏
sniff,n.,抽鼻子；吸气声
sniff,v.,抽鼻子；嗅
sniffer,n.,嗅探器；缉毒犬
snobbish,adj.,势利的
snow boarding,n.,单板滑雪
snow-capped mountain,phr.,雪山
snowdrift,n.,雪堆
snowdrop,n.,雪花莲
snowmobile,n.,雪地摩托
snowy,adj.,下雪的；多雪的
soak,n.,浸泡
soak,v.,浸泡；湿透
soap dish,n.,肥皂盒
soap opera,n.,肥皂剧
soaps,n.,肥皂；肥皂剧
sober,adj.,清醒的；冷静的；朴素的
sober,v.,（使）清醒；（使）冷静
social activities,phr.,社交活动
social contacts,phr.,社会联系
social event,phr.,社交活动
social facilities available on the campus,phr.,校内社交设施
social fund,phr.,社会基金
social information,phr.,社会信息
social life,phr.,社交生活
social network,n.,社交网络
social recognition,phr.,社会认可
social science,n.,社会科学
social setting,phr.,社交场合
social skills,n.,社交技能
social status,n.,社会地位
socialise,v.,社交；交往
socialism,n.,社会主义
socio-economic,adj.,社会经济的
sociobiologist,n.,社会生物学家
socket,n.,插座；插口
socks,n.,袜子
soda water,phr.,苏打水；汽水
soft drink,phr.,软饮料
soft sediment,phr.,软沉积物
soft toy,phr.,软体玩具
soft-boiled,adj.,半熟的
softball,n.,垒球
softener,n.,软化剂；柔顺剂
softie,n.,心软的人
softy,n.,心软的人；傻瓜
soil conditioner,phr.,土壤改良剂
soil pollution,phr.,土壤污染
solar battery u,n.,太阳能电池
solar cell,n.,太阳能电池
solar energy,phr.,太阳能
solar-powered,adj.,太阳能驱动的
soldiers,n.,士兵
sole,adj.,唯一的；独有的
sole,n.,鞋底；脚底
sole,v.,给（鞋）上底
solemnly,adv.,庄严地；严肃地
solicit,v.,请求；征求；招揽
solicitor,n.,事务律师
solid wood,phr.,实木
solidarity,n.,团结
solidify,v.,（使）凝固；（使）团结
solidity,n.,坚固；固体性
soliloquy,n.,独白
solo,adj.,单独的；独奏的
solo,adv.,单独地
solo,n.,独奏；独唱
solo,v.,单独表演；单飞
solo dance,n.,独舞
soluble,adj.,可溶的；可以解决的
solvency,n.,偿付能力
somatic,adj.,身体的；躯体的
somnambulate,v.,梦游
somniloquy,n.,梦话
sonata,n.,奏鸣曲
songbird,n.,鸣禽；歌手
songs,n.,歌曲
sophisticate,n.,久经世故的人
sophisticate,v.,使复杂；使世故
sophomore,n.,（大学）二年级学生
sore throat,n.,喉咙痛；嗓子疼
sort out,phr.,解决；整理好
sound effect,n.,音效
sound good,phr.,听起来不错
sound of creek in the forest,phr.,林中溪声
sound quality,n.,音质
sound system,n.,音响系统
sound volume,n.,音量
soundproof,adj.,隔音的
soundproof,v.,使隔音
soup plate,n.,汤盘
soupspoon,n.,汤匙
sovereign,adj.,拥有主权的；至高无上的
sovereign,n.,君主；元首
soviet,adj.,苏维埃的；苏联的
soviet,n.,苏维埃
sow,n.,母猪
sow,v.,播种；散布
spaces,n.,空间；空格
spade,n.,铲子；铁锹
spade,v.,用铲子铲
spaghetti,n.,意大利面
spare room,n.,客房；空房间
spare socks,n.,备用袜子
spare time,n.,空闲时间；业余时间
spare tire,n.,备胎
sparrow,n.,麻雀
spasmodic,adj.,痉挛的；间歇性的
speaker,n.,演讲者；扬声器；议长
speakers,n.,扬声器；喇叭
speaking,adj.,会话的；富于表情的
speaking,n.,说话；演讲
spear,n.,矛；枪
spear,v.,用矛刺
spears,n.,矛
special assistant of the enterprise,phr.,企业特别助理
special audio equipment,n.,特殊音响设备
special award,n.,特别奖
special buses,n.,专线巴士
special case,phr.,特殊情况
special code,n.,特殊代码
special effect,n.,特效
special feature,n.,特色；特辑
special method,phr.,特殊方法
special occasions,n.,特殊场合
special offer,n.,特价优惠
special offers,n.,特价优惠
special parties,n.,特别派对
special party hats,n.,特别派对帽
special performance,n.,专场演出
special promotion,n.,特别促销
special train,n.,专列
special training,n.,特别训练
specialisation,n.,专业化
specialise,v.,专门从事；专攻
specialist knowledge,n.,专业知识
specialized,adj.,专业的；专门的
specialized double glazing,phr.,专业双层玻璃
specialized worker,n.,专业工人
specialty,n.,专业；专长；特产
specious,adj.,似是而非的
spectacular,adj.,壮观的；惊人的
spectacularly,adv.,壮观地；引人注目地
spectator,n.,观众
spectrometer,n.,分光计
spectrum,n.,光谱；范围
speculate,v.,推测；投机
speeches,n.,演讲；发言
speed up,phr.,加速
sperm whale,n.,抹香鲸
spice,n.,香料；调味品
spice,v.,加香料于；增添趣味
spicy,adj.,辣的；辛辣的
spicy food,phr.,辛辣食物
spin button,phr.,旋转按钮
spinach,n.,菠菜
spinal,adj.,脊柱的；脊髓的
spine,n.,脊柱；书脊
spirited,adj.,有精神的；活泼的
spirits,n.,情绪；烈酒
spit,n.,唾液；口水
spit,v.,吐（唾液等）
splash,n.,溅泼声；溅上的污点
splash,v.,溅；泼
splendour,n.,壮丽；辉煌
splint,n.,夹板
splint,v.,用夹板固定
spoilage,n.,损坏；（食物）腐败
spoke,n.,（车轮的）辐条
sponge,n.,海绵
sponge,v.,用海绵擦；占便宜
spongy,adj.,海绵状的；松软的
spool,n.,线轴
spool,v.,缠绕在线轴上
sporadically,adv.,零星地；偶发地
sports,adj.,运动的
sports,n.,体育运动
sports administration,n.,体育管理
sports centre,n.,体育中心
sports clubs,n.,体育俱乐部
sports equipment,n.,运动器材
sports events,n.,体育赛事
sports facilities,n.,体育设施
sports field,n.,运动场
sports hall,n.,体育馆
sports injury,n.,运动损伤
sports meet,n.,运动会
sports psychologist,n.,运动心理学家
sports section,n.,体育版
sports service,n.,体育服务
sports shoes,n.,运动鞋
sports-wear,n.,运动服
sportswear,n.,运动服
spot-on,adj.,准确的；恰好的
sprawl,n.,蔓延；杂乱的伸展
sprawl,v.,蔓延；伸开四肢躺（或坐）
spray gun,n.,喷枪
sprayer,n.,喷雾器
spring onion,n.,葱
spring outing,n.,春游
spring roll,n.,春卷
spring water,n.,泉水
springboard,n.,跳板；出发点
sprinkle,n.,少量；小雨
sprinkle,v.,洒；撒；下小雨
sprint,n.,短跑；冲刺
sprint,v.,冲刺；全速跑
sql,n.,结构化查询语言
squander,v.,浪费；挥霍
square metre,n.,平方米
squash,n.,壁球；南瓜
squash,v.,压扁；镇压；挤进
squash court,phr.,壁球场
squeezer,n.,榨汁机；压榨器
squishy,adj.,湿软的；黏糊糊的
stab,n.,刺；戳
stab,v.,刺；戳
stabilise,v.,（使）稳定
stabiliser,n.,稳定器；稳定剂
stack diagram,phr.,堆栈图
stack room,n.,书库
staff cuts,phr.,裁员
staff selection,phr.,员工甄选
stage actor,phr.,舞台剧演员
stage actress,phr.,舞台剧女演员
stage critic,phr.,戏剧评论家
stage director,n.,舞台监督；导演
stage effect,n.,舞台效果
stage fright,n.,怯场
stage name,n.,艺名
stage photo,phr.,舞台照
stage setting,n.,舞台布置
stage-wait,n.,冷场
stagnant,adj.,停滞的；不流动的；不景气的
stagnate,v.,停滞；不发展
stainless steel,n.,不锈钢
stair lift,n.,楼梯升降机
stairs,n.,楼梯
stairway,n.,楼梯
stammer,n.,口吃
stammer,v.,口吃；结巴地说
stance,n.,立场；姿态
stand at,phr.,处于（某个水平）
stand out,phr.,突出；杰出
stand-in,n.,替身
standard grade u,n.,标准等级
standard room,n.,标准间
standard screen,n.,标准筛
standby,adj.,备用的
standby,n.,备用；待命状态
standing,adj.,常设的；直立的
standing,n.,地位；名声；持续时间
standing ovation,n.,起立鼓掌
standpoint,n.,立场；观点
stapler,n.,订书机
starchy,adj.,含淀粉的；刻板的
stark,adj.,赤裸的；严酷的；完全的
stark,adv.,完全地；十足地
starkly,adv.,明显地；严酷地
stars,n.,星星；明星们
start filming,phr.,开始拍摄
start off,phr.,开始；出发
start publication,phr.,开始出版
start the engine,phr.,启动引擎
start with,v.,从…开始
starting,n.,开始；出发
starting line,n.,起跑线
startling,adj.,令人吃惊的
startup,n.,创业公司；启动
starveling,n.,挨饿的人或动物
stash,n.,藏匿处
stash,v.,藏匿；存放
state diagram,phr.,状态图
state park,n.,州立公园
stated,adj.,规定的；声明的
statesman,n.,政治家
static,adj.,静止的；静态的；静电的
static,n.,静电
static typing,phr.,静态类型
station staff,n.,车站员工
stationmaster,n.,站长
statistically,adv.,统计上
statistician,n.,统计学家；统计员
stature,n.,身高；声望；水平
statutory,adj.,法定的
steadfast,adj.,坚定的；不变的
steam bath,n.,蒸汽浴
steam engine,n.,蒸汽机
steamer,n.,蒸锅；轮船
steering,n.,转向系统；操控
step on the accelerator,phr.,踩油门
step on the brake,phr.,踩刹车
step-in,adj.,容易穿上的
stereo system,n.,音响系统
stereoscopic,adj.,立体的
stereoscopic vision,n.,立体视觉
sterile,adj.,无菌的；不育的；贫瘠的
sterilisable,adj.,可消毒的
sterility,n.,不育；无菌
sterilization,n.,消毒；绝育
stern,adj.,严厉的；严肃的
stern,n.,船尾
stew,n.,炖菜
stew,v.,炖；焖
steward,n.,服务员；管家
stickers,n.,贴纸
sticking plaster,n.,创可贴；橡皮膏
stiff neck,n.,落枕；脖子僵硬
stifle,v.,抑制；使窒息
stifling,adj.,令人窒息的；沉闷的
stigma,n.,耻辱；污名
stigmatise,v.,使蒙受污名；指责
still camera,n.,照相机
stimulant,n.,兴奋剂；刺激物
stimulating,adj.,激励性的；有启发性的
stings,n.,蜇伤
stint,n.,定量；限额；工作期限
stint,v.,限制；节省
stipend,n.,薪水；津贴
stipulate,v.,规定；明确要求
stitch,n.,一针；缝线
stitch,v.,缝；缝合
stock market,n.,股市；证券市场
stockpile,n.,储备物资
stockpile,v.,储备；囤积
stolen,adj.,被盗的
stomachache,n.,胃痛；肚子痛
stones,n.,石头
stool,n.,凳子；大便
stop watch,n.,秒表
stopping points,n.,停靠点
stopwatch,n.,秒表
storehouse,n.,仓库
storyline,n.,故事情节
stout,adj.,结实的；肥胖的；勇敢的
stout,n.,黑啤酒
straight away,adv.,立刻；马上
straight ball u,n.,直球
straightaway,adj.,笔直的；直接的
straightaway,n.,直路；直线跑道
strained,adj.,紧张的；勉强的
strait,n.,海峡；困境
strand,n.,（绳、线的）股；缕；海滨
strand,v.,使搁浅；使陷入困境
stranger,n.,陌生人
strangle,v.,勒死；扼杀
strategies,n.,策略；战略
strategist,n.,战略家
stratosphere,n.,平流层；同温层
strawberry,n.,草莓
stream pollution,n.,河流污染
streamline,v.,使成流线型；简化
streamlined,adj.,流线型的；简化的
streets,n.,街道
strength and weakness,n.,优缺点
strength of character,n.,性格坚毅
strenuous,adj.,费力的；艰苦的
stress management,n.,压力管理
stressful life,phr.,充满压力的生活
stretcher,n.,担架
stretching,n.,伸展运动
stricken,adj.,受灾的；患病的
strict control,phr.,严格控制
strict law,phr.,严格的法律
strict with the employees,phr.,对员工严格
stride,n.,大步；进展
stride,v.,大步走
strike pay,phr.,罢工津贴
striking colors,phr.,鲜艳的颜色
string band,phr.,弦乐队
string bean,phr.,四季豆
string orchestra,phr.,弦乐团
stringent,adj.,严格的；紧缩的
stringy,adj.,多筋的；纤维的
strip ... down,phr.,拆卸；分解
strip cartoon,phr.,连环画
stripper,n.,脱衣舞女；剥离器
strong currents,phr.,急流
strong family ties,phr.,紧密的家庭关系
strong flavor,phr.,浓郁的味道
strong physique,phr.,强健的体魄
strong reference,phr.,强引用
strong wind,n.,强风
strongly,adv.,强烈地；坚决地
stubborn,adj.,顽固的；固执的
stuck,adj.,卡住的；动不了的
student card,n.,学生证
student leader,n.,学生领袖
student loan,n.,学生贷款
student service,n.,学生服务
student support,n.,学生支持
student union,n.,学生会
student welfare officer,n.,学生福利干事
students home,n.,学生宿舍
studious,adj.,好学的；用功的
study aids,n.,学习辅助工具
study skill,n.,学习技巧
study strategy,n.,学习策略
stuffed animal,n.,填充动物玩具
stuffed animals,n.,填充动物玩具
stuffed nose,n.,鼻塞
stuffing,n.,填充物；馅料
stunned,adj.,震惊的；目瞪口呆的
stunning,adj.,极好的；令人震惊的
stunt,n.,特技；噱头
stunt,v.,阻碍…的生长；表演特技
stunt man,n.,特技替身演员
sturdy,adj.,结实的；坚固的；坚定的
stylist,n.,设计师；造型师
stylistic,adj.,风格的；文体上的
sub,n.,潜艇；替补；订阅费
sub-category,n.,子类别
sub-species,n.,亚种
subclass,n.,子类
subcommittee,n.,小组委员会
subconscious,adj.,潜意识的
subconscious,n.,潜意识
subdivision of the market,n.,市场细分
subgroup,n.,小组；子群
subjection,n.,服从；征服
subjects,n.,科目；主题
sublime,adj.,崇高的；卓越的
subliminal,adj.,潜意识的
subliminally,adv.,潜意识地
subnormal,adj.,低于正常的；弱智的
subordinate,adj.,下级的；次要的
subordinate,n.,下属
subordinate,v.,使…居于次要地位
subroutine,n.,子程序
subscribe,v.,订阅；认购；同意
subscript,n.,下标
subscription,n.,订阅；订阅费；捐款
subsequently,adv.,随后；后来
subset,n.,子集
subside,v.,平息；减弱；下沉
subsidiary,adj.,附属的；次要的
subsidiary,n.,子公司；附属公司
subsidise,v.,资助；给…补贴
subsidize,v.,资助；给…补贴
subsidy,n.,补贴；津贴
subsistence,n.,生存；生计
subsoil,n.,底土；下层土
substantially,adv.,大体上；非常
substantiate,v.,证实；证明
substantive,adj.,实质性的；重要的
subterranean water u,n.,地下水
subtitle,n.,副标题；字幕
subtitle,v.,加字幕；加副标题
subtitles,n.,字幕
subtlety,n.,微妙；敏锐
subtopics,n.,副主题；小标题
subtotal,n.,小计
subtropical,adj.,亚热带的
successful businessmen,phr.,成功的商人
successful career,phr.,成功的事业
successor,n.,继承人；接替者
succinct,adj.,简洁的；简明的
succumb,v.,屈服；死亡
sucker,n.,吸盘；容易上当的人
suckle,v.,哺乳；喂奶
suckling stage,phr.,哺乳期
suction,n.,吸；吸力
sue,v.,控告；起诉
sufferer,n.,受害者；患者
suffix,n.,后缀
suffrage,n.,选举权；投票权
suffragette,n.,争取妇女参政权的女子
suffuse,v.,充满；遍布
sugar candy,n.,冰糖
sugarcane,n.,甘蔗
suggestion,n.,建议；暗示
suicidal,adj.,自杀的；有自杀倾向的
suicide,n.,自杀
suitable spouse,phr.,合适的配偶
suite,n.,套房；（一套）家具；组曲
suited,adj.,合适的；适合的
sulphur,n.,硫磺
sulphur dioxide,n.,二氧化硫
sulphuric,adj.,硫的
sulphuric acid,n.,硫酸
sum insured,phr.,保险金额
sum of money,phr.,一笔钱
sum up,phr.,总结；概括
summarise,v.,总结；概括
summary report,phr.,总结报告
summer school,phr.,暑期学校
summer vacation,phr.,暑假
summer-only,phr.,仅限夏季
sumo,n.,相扑
sumptuous,adj.,奢华的；昂贵的
sun hat,phr.,太阳帽
sun helmet,phr.,太阳帽
sun position,phr.,太阳位置
sun-cream,phr.,防晒霜
sundial,n.,日晷
sundown,n.,日落
sunflower,n.,向日葵
sunflower seeds,phr.,瓜子；葵花籽
sunglasses,n.,太阳镜；墨镜
sunroof,n.,（汽车）天窗
sunset,n.,日落；黄昏
sunshade,n.,遮阳伞；遮阳篷
suntan,n.,晒黑的肤色
suntan block,n.,防晒霜
superannuation,n.,退休金
superbly,adv.,极好地；出色地
superficiality,n.,肤浅；表面性
superficially,adv.,表面上；肤浅地
superfluous,adj.,多余的；不必要的
superimpose,v.,叠加；置于…之上
superiority,n.,优越性；优势
superlative,adj.,最高级的；最好的
superlative,n.,最高级
superpower,n.,超级大国
supersede,v.,取代；代替
supersonic,adj.,超音速的
supersonic transport aircraft,phr.,超音速运输机
superstar,n.,超级巨星
superstition,n.,迷信
superstitious,adj.,迷信的
supervise teams,phr.,监督团队
supervision committee,phr.,监事会
supervisory,adj.,监督的
supplant,v.,取代；代替
supplement,n.,补充；增刊；补品
